"","Tea","How","how","sugar","where","lunch"
"1","black","alone","tea bag","sugar","chain store","Not.lunch"
"2","black","milk","tea bag","No.sugar","chain store","Not.lunch"
"3","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"4","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"5","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"6","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"7","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"8","black","milk","tea bag","No.sugar","chain store","Not.lunch"
"9","Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"10","black","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"11","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"12","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"13","Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"14","black","milk","tea bag","sugar","chain store","Not.lunch"
"15","black","milk","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"16","Earl Grey","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"17","black","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"18","Earl Grey","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"19","black","alone","tea bag","No.sugar","chain store","lunch"
"20","black","alone","tea bag","No.sugar","chain store","lunch"
"21","Earl Grey","lemon","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"22","black","other","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"23","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"24","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"25","Earl Grey","alone","unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"26","Earl Grey","milk","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"27","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"28","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","lunch"
"29","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"30","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"31","Earl Grey","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"32","Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"33","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"34","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"35","black","lemon","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"36","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"37","green","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"38","green","alone","tea bag","No.sugar","chain store","Not.lunch"
"39","Earl Grey","milk","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"40","green","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"41","Earl Grey","alone","tea bag","sugar","chain store","lunch"
"42","green","alone","tea bag","No.sugar","chain store","Not.lunch"
"43","Earl Grey","milk","tea bag","No.sugar","chain store","Not.lunch"
"44","black","other","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"45","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"46","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"47","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"48","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"49","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"50","black","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"51","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"52","black","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"53","Earl Grey","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"54","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"55","green","milk","tea bag","sugar","chain store","Not.lunch"
"56","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"57","green","alone","tea bag","No.sugar","chain store","Not.lunch"
"58","Earl Grey","milk","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"59","green","lemon","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"60","black","alone","tea bag+unpackaged","No.sugar","chain store","lunch"
"61","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","lunch"
"62","Earl Grey","alone","unpackaged","No.sugar","tea shop","lunch"
"63","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"64","black","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"65","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"66","black","other","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"67","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"68","Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"69","Earl Grey","lemon","tea bag","No.sugar","chain store","lunch"
"70","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"71","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"72","Earl Grey","milk","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"73","Earl Grey","milk","tea bag","sugar","chain store","lunch"
"74","Earl Grey","lemon","unpackaged","sugar","tea shop","Not.lunch"
"75","black","milk","tea bag","sugar","chain store","lunch"
"76","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"77","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"78","Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store","lunch"
"79","Earl Grey","alone","tea bag","sugar","tea shop","lunch"
"80","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"81","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"82","Earl Grey","alone","unpackaged","sugar","chain store","Not.lunch"
"83","Earl Grey","milk","tea bag","sugar","chain store+tea shop","Not.lunch"
"84","Earl Grey","alone","tea bag","No.sugar","chain store","lunch"
"85","Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"86","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"87","Earl Grey","alone","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"88","Earl Grey","milk","tea bag","sugar","chain store","lunch"
"89","Earl Grey","milk","tea bag","No.sugar","chain store+tea shop","lunch"
"90","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"91","black","milk","tea bag+unpackaged","sugar","chain store","Not.lunch"
"92","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","lunch"
"93","black","milk","tea bag","No.sugar","chain store","Not.lunch"
"94","Earl Grey","alone","unpackaged","No.sugar","chain store","Not.lunch"
"95","Earl Grey","alone","unpackaged","sugar","tea shop","Not.lunch"
"96","black","milk","tea bag+unpackaged","sugar","chain store","Not.lunch"
"97","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"98","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"99","black","milk","tea bag+unpackaged","sugar","chain store+tea shop","lunch"
"100","Earl Grey","alone","unpackaged","No.sugar","tea shop","Not.lunch"
"101","Earl Grey","alone","tea bag","sugar","chain store","lunch"
"102","green","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"103","Earl Grey","milk","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"104","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"105","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"106","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"107","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"108","Earl Grey","alone","tea bag+unpackaged","sugar","chain store","Not.lunch"
"109","Earl Grey","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"110","Earl Grey","alone","tea bag+unpackaged","No.sugar","tea shop","Not.lunch"
"111","Earl Grey","lemon","tea bag","No.sugar","chain store","Not.lunch"
"112","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"113","Earl Grey","alone","tea bag","sugar","chain store+tea shop","Not.lunch"
"114","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"115","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"116","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"117","Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"118","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"119","Earl Grey","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"120","Earl Grey","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"121","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"122","Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"123","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"124","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"125","Earl Grey","milk","tea bag","sugar","chain store","Not.lunch"
"126","Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"127","black","other","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"128","black","alone","tea bag+unpackaged","No.sugar","chain store","Not.lunch"
"129","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"130","Earl Grey","milk","tea bag","No.sugar","chain store","Not.lunch"
"131","Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"132","black","alone","tea bag","No.sugar","chain store","Not.lunch"
"133","Earl Grey","lemon","tea bag+unpackaged","sugar","chain store+tea shop","Not.lunch"
"134","black","lemon","tea bag","sugar","chain store","Not.lunch"
"135","black","other","tea bag","No.sugar","chain store","Not.lunch"
"136","Earl Grey","lemon","tea bag","sugar","chain store+tea shop","Not.lunch"
"137","Earl Grey","lemon","tea bag","sugar","chain store","Not.lunch"
"138","Earl Grey","alone","tea bag","No.sugar","chain store","lunch"
