"","X","Tea","How","how","sugar","where","lunch"
"1",1,"black","alone","tea bag","sugar","chain store","Not.lunch"
"2",2,"black","milk","tea bag","No.sugar","chain store","Not.lunch"
"3",3,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"4",4,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"5",5,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"6",6,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"7",7,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"8",8,"black","milk","tea bag","No.sugar","chain store","Not.lunch"
"9",9,"Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"10",10,"black","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"11",11,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"12",12,"Earl Grey","alone","tea bag","sugar","chain store","Not.lunch"
"13",13,"Earl Grey","milk","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"14",14,"black","milk","tea bag","sugar","chain store","Not.lunch"
"15",15,"black","milk","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"16",16,"Earl Grey","alone","unpackaged","sugar","chain store+tea shop","Not.lunch"
"17",17,"black","alone","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"18",18,"Earl Grey","alone","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"19",19,"black","alone","tea bag","No.sugar","chain store","lunch"
"20",20,"black","alone","tea bag","No.sugar","chain store","lunch"
"21",21,"Earl Grey","lemon","tea bag","No.sugar","chain store+tea shop","Not.lunch"
"22",22,"black","other","tea bag+unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"23",23,"Earl Grey","alone","tea bag","No.sugar","chain store","Not.lunch"
"24",24,"black","alone","tea bag","No.sugar","chain store","Not.lunch"
"25",25,"Earl Grey","alone","unpackaged","No.sugar","chain store+tea shop","Not.lunch"
"26",26,"Earl Grey","milk","tea bag","No.sugar","chain store+tea shop","Not.lunch"
